player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
remo_freuler__sui,Remo Freuler,SUI,MID,0.8331,transfermarkt_availability_split_2026_06_04,0.8331,transfermarkt_availability_split_2026_06_01,0.0,0.075736,ok,No action.
gon_alo_ramos__por,Goncalo Ramos,POR,FWD,0.6042,transfermarkt_availability_split_2026_06_04,0.6042,transfermarkt_availability_split_2026_06_01,0.0,0.054927,ok,No action.
jo_o_cancelo__por,João Cancelo,POR,DEF,0.732,transfermarkt_availability_split_2026_06_04,0.732,transfermarkt_availability_split_2026_06_01,0.0,0.066545,ok,No action.
firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,0.8388,transfermarkt_availability_split_2026_06_04,0.8388,transfermarkt_availability_split_2026_06_01,0.0,0.076255,ok,No action.
silvan_widmer__sui,Silvan Widmer,SUI,DEF,0.632,transfermarkt_availability_split_2026_06_04,0.632,transfermarkt_availability_split_2026_06_01,0.0,0.057455,ok,No action.
amar_memi__bih,Amar Memic,BIH,MID,0.8296,transfermarkt_availability_split_2026_06_04,0.8296,transfermarkt_availability_split_2026_06_01,0.0,0.075418,ok,No action.
david_raum__ger,David Raum,GER,DEF,0.6701,transfermarkt_availability_split_2026_06_04,0.6701,transfermarkt_availability_split_2026_06_01,0.0,0.060918,ok,No action.
giovani_lo_celso__arg,Giovani Lo Celso,ARG,MID,0.7765,transfermarkt_availability_split_2026_06_04,0.7765,transfermarkt_availability_split_2026_06_01,0.0,0.070591,ok,No action.
ezri_konsa__eng,Ezri Konsa,ENG,DEF,0.629,transfermarkt_availability_split_2026_06_04,0.629,transfermarkt_availability_split_2026_06_01,0.0,0.057182,ok,No action.
jos_mar_a_gim_nez__uru,Jose Maria Gimenez,URU,DEF,0.8283,transfermarkt_availability_split_2026_06_04,0.8283,transfermarkt_availability_split_2026_06_01,0.0,0.0753,ok,No action.
ruben_vargas__sui,Ruben Vargas,SUI,FWD,0.8607,transfermarkt_availability_split_2026_06_04,0.8607,transfermarkt_availability_split_2026_06_01,0.0,0.078245,ok,No action.
