player_id,player_name,team_id,position,start_prob,minute_share,match_1_start_minutes_ev,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_weighted_match_ev,weighted_group_stage_ev,component_source,component_recomputed,suspected_issue
jes_s_gallardo__mex,Jesus Gallardo,MEX,DEF,0.6419,0.058355,48.181014,0.023134,0.023553,0.00476,1.111469,2.678368,existing_components,yes,ok
phillipp_mwene__aut,Phillipp Mwene,AUT,DEF,0.76,0.069091,57.05244,0.034032,0.043765,0.011205,1.351574,2.636364,existing_components,yes,ok
zeno_debast__bel,Zeno Debast,BEL,DEF,0.6368,0.057891,47.956771,0.016881,0.016933,0.009198,0.826015,2.623369,existing_components,yes,ok
wesley_franca__bra,Wesley Franca,BRA,DEF,0.6273,0.057027,,,,,0.769168,2.595775,existing_components,no,ok
philipp_lienhart__aut,Philipp Lienhart,AUT,DEF,0.6578,0.0598,49.574439,0.069328,0.028036,0.014355,1.377354,2.594029,existing_components,no,ok
marcus_thuram__fra,Marcus Thuram,FRA,FWD,0.5572,0.050655,37.030955,0.13723,0.044517,0.100735,0.900053,2.593405,existing_components,no,ok
federico_vi_as__uru,Federico Vinas,URU,FWD,0.5403,0.049118,36.105007,0.127885,0.087553,0.094308,1.00906,2.579614,existing_components,yes,ok
nicolas_seiwald__aut,Nicolas Seiwald,AUT,MID,0.7345,0.066773,52.616642,0.143425,0.147556,0.064456,1.41931,2.566055,existing_components,yes,ok
pedri__esp,Pedri,ESP,MID,0.6446,0.0586,45.628011,0.065266,0.076427,0.02533,0.779074,2.562477,existing_components,no,ok
alireza_beiranvand__irn,Alireza Beiranvand,IRN,GK,0.9438,0.0858,75.333172,0.0,0.0,0.0,1.28215,2.54391,existing_components,yes,ok
david_cabezas__ecu,David Cabezas,ECU,GK,0.6671,0.060645,,,,,0.929383,2.542546,existing_components,yes,ok
james_rodr_guez__col,James Rodriguez,COL,MID,0.6752,0.061382,48.083018,0.103324,0.101652,0.038105,1.021702,2.540025,existing_components,yes,ok
konrad_laimer__aut,Konrad Laimer,AUT,MID,0.7089,0.064445,50.675717,0.158533,0.121975,0.073604,1.4104,2.539737,existing_components,yes,ok
roberto_alvarado__mex,Roberto Alvarado,MEX,MID,0.5756,0.052327,38.851849,0.210355,0.077962,0.15149,1.592212,2.529953,existing_components,no,ok
granit_xhaka__sui,Granit Xhaka,SUI,MID,0.9293,0.084482,65.964735,0.091544,0.086661,0.040812,0.921138,2.526657,existing_components,yes,ok
oliver_baumann__ger,Oliver Baumann,GER,GK,0.5443,0.049482,43.356217,0.0,0.0,0.0,1.205717,2.52542,existing_components,yes,ok
malik_tillman__usa,Malik Tillman,USA,MID,0.572,0.052,40.975792,0.122288,0.089319,0.058951,1.043841,2.523492,existing_components,no,ok
ferdi_kadioglu__tur,Ferdi Kadioglu,TUR,DEF,0.918,0.083455,,,,,1.01987,2.511736,existing_components,yes,ok
abde_ezzalzouli__mar,Abde Ezzalzouli,MAR,FWD,0.5823,0.052936,39.011248,0.049097,0.027045,0.118457,0.419641,2.509995,existing_components,yes,ok
mohamed_hany__egy,Mohamed Hany,EGY,DEF,0.8421,0.076555,62.821099,0.007324,0.015386,0.008369,0.41182,2.509859,existing_components,yes,ok
jurri_n_timber__ned,Jurrien Timber,NED,DEF,0.7551,0.068645,56.149236,0.0118,0.016427,0.004489,0.760189,2.499915,existing_components,yes,ok
gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,0.5498,0.049982,40.795236,0.033322,0.013332,0.003657,0.941075,2.494683,existing_components,no,ok
thiago_almada__arg,Thiago Almada,ARG,MID,0.7556,0.068691,53.203307,0.088155,0.07558,0.040032,0.828166,2.489468,existing_components,no,ok
tijjani_reijnders__ned,Tijjani Reijnders,NED,MID,0.6768,0.061527,48.268699,0.086419,0.072106,0.053935,0.817264,2.489292,existing_components,yes,ok
firas_al_buraikan__ksa,Firas Al-Buraikan,KSA,FWD,0.6639,0.060355,44.701715,0.106256,0.039566,0.200063,0.782118,2.483215,existing_components,yes,ok
michael_gregoritsch__aut,Michael Gregoritsch,AUT,FWD,0.6037,0.054882,40.063947,0.227111,0.067069,0.144001,1.417943,2.479549,existing_components,no,ok
stefan_posch__aut,Stefan Posch,AUT,DEF,0.636,0.057818,48.05298,0.052309,0.041788,0.015003,1.294632,2.475855,existing_components,no,ok
alex_freeman__usa,Alex Freeman,USA,DEF,0.6629,0.060264,50.133138,0.022568,0.020035,0.021645,0.944396,2.473155,existing_components,yes,ok
ismael_d_az__pan,Ismael Diaz,PAN,FWD,0.5482,0.049836,36.993084,0.1333,0.03586,0.191764,0.881291,2.470869,existing_components,yes,ok
daniel_mu_oz__col,Daniel Muñoz,COL,DEF,0.6489,0.058991,48.284,0.015554,0.013335,0.004267,1.001902,2.455044,existing_components,yes,ok
nikola_vasilj__bih,Nikola Vasilj,BIH,GK,0.9143,0.083118,72.978512,0.0,0.0,0.0,0.681826,2.45485,existing_components,yes,ok
sergio_rochet__uru,Sergio Rochet,URU,GK,0.5958,0.054164,,,,,0.936626,2.450664,existing_components,no,ok
saman_ghoddos__irn,Saman Ghoddos,IRN,MID,0.861,0.078273,61.373802,0.124191,0.186598,0.070097,1.373674,2.44471,existing_components,yes,ok
c_dric_bakambu__cod,Cedric Bakambu,COD,FWD,0.8161,0.074191,54.670539,0.080312,0.029933,0.179699,0.577299,2.443686,existing_components,yes,ok
amar_memi__bih,Amar Memic,BIH,MID,0.64,0.058182,42.9728,0.074053,0.039331,0.13092,0.678654,2.438288,existing_components,no,ok
tyler_adams__usa,Tyler Adams,USA,MID,0.8095,0.073591,57.55545,0.098207,0.088431,0.058098,0.906042,2.428429,existing_components,yes,ok
merih_demiral__tur,Merih Demiral,TUR,DEF,0.6686,0.060782,50.57023,0.0218,0.020993,0.006933,0.918422,2.424598,existing_components,no,ok
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,0.8871,0.080645,,,,,0.983859,2.422394,existing_components,yes,ok
issa_diop__mar,Issa Diop,MAR,DEF,0.8707,0.079155,,,,,0.424523,2.42137,existing_components,yes,ok
eldor_shomurodov__uzb,Eldor Shomurodov,UZB,FWD,0.9208,0.083709,62.020484,0.111726,0.044664,0.198624,0.790962,2.413221,existing_components,yes,ok
brahim_d_az__mar,Brahim Diaz,MAR,FWD,0.4146,0.037691,27.937406,0.052301,0.016386,0.09343,0.394128,2.409629,existing_components,yes,ok
isma_l_kon__can,Ismael Kone,CAN,MID,0.8597,0.078155,60.585638,0.09909,0.094532,0.050902,0.920951,2.397708,existing_components,yes,ok
morgan_rogers__eng,Morgan Rogers,ENG,MID,0.6053,0.055027,42.926665,0.086302,0.060343,0.028182,0.788036,2.391341,existing_components,yes,ok
pervis_estupi_n__ecu,Pervis Estupinan,ECU,DEF,0.7068,0.064255,52.557648,0.011731,0.011098,0.003199,0.851293,2.386114,existing_components,yes,ok
david_m_ller_wolfe__nor,David Møller Wolfe,NOR,DEF,0.6856,0.062327,51.774455,0.021804,0.021031,0.004487,1.198048,2.379722,existing_components,yes,ok
antonee_robinson__usa,Antonee Robinson,USA,DEF,0.8279,0.075264,,,,,0.909504,2.374839,existing_components,yes,ok
rodrigo_aguirre__uru,Rodrigo Aguirre,URU,FWD,0.6034,0.054855,40.196698,0.134888,0.046899,0.099527,0.926722,2.368312,existing_components,yes,ok
anthony_gordon__eng,Anthony Gordon,ENG,FWD,0.8179,0.074355,58.345714,0.089636,0.091524,0.043208,0.784268,2.365165,existing_components,yes,ok
