team_id,player_id,player_name,raw_start_prob,raw_start_prob_source,competitive_starts,recent_starts,availability_prob,context_override,team_gk_rank,normalized_gk_start_prob,normalized_prob_sum_team,repair_reason
ESP,unai_sim_n__esp,Unai Simon,0.4608,transfermarkt_availability_split_2026_06_06,57.0,11,0.9067,,1,0.8605,0.9999,team_gk_exclusive_normalization
ESP,joan_garcia__esp,Joan Garcia,0.15,transfermarkt_availability_split_2026_06_06+context_override,1.0,,0.9,yes,3,0.0403,0.9999,team_gk_exclusive_normalization
FRA,robin_risser__fra,Robin Risser,0.0456,transfermarkt_availability_split_2026_06_06,0.0,,0.75,,3,0.0251,1.0,team_gk_exclusive_normalization
FRA,brice_samba__fra,Brice Samba,0.2581,transfermarkt_availability_split_2026_06_06,4.0,1,0.9557,,2,0.0342,1.0,team_gk_exclusive_normalization
FRA,mike_maignan__fra,Mike Maignan,0.82,transfermarkt_availability_split_2026_06_06+context_override,38.0,10,0.9,yes,1,0.9407,1.0,team_gk_exclusive_normalization
GER,oliver_baumann__ger,Oliver Baumann,0.5797,transfermarkt_availability_split_2026_06_06,12.0,9,0.9554,,1,0.5443,1.0001,team_gk_exclusive_normalization
GER,manuel_neuer__ger,Manuel Neuer,0.8349,transfermarkt_availability_split_2026_06_06,123.0,0,0.6034,,2,0.3702,1.0001,team_gk_exclusive_normalization
GER,alexander_n_bel__ger,Alexander Nübel,0.2719,transfermarkt_availability_split_2026_06_06,3.0,1,0.9359,,3,0.0554,1.0001,team_gk_exclusive_normalization
GER,finn_dahmen__ger,Finn Dahmen,0.048,transfermarkt_availability_split_2026_06_06,0.0,,0.8879,,4,0.0151,1.0001,team_gk_exclusive_normalization
GER,jonas_urbig__ger,Jonas Urbig,0.0456,transfermarkt_availability_split_2026_06_06,0.0,,0.75,,5,0.0151,1.0001,team_gk_exclusive_normalization
GHA,joseph_anang__gha,Joseph Anang,0.0471,transfermarkt_availability_split_2026_06_06,1.0,,0.8316,,3,0.0252,1.0,team_gk_exclusive_normalization
GHA,lawrence_ati_zigi__gha,Lawrence Ati Zigi,0.5527,transfermarkt_availability_split_2026_06_06,26.0,2,0.8549,,2,0.1554,1.0,team_gk_exclusive_normalization
GHA,benjamin_asare__gha,Benjamin Asare,0.6544,transfermarkt_availability_split_2026_06_06,10.0,9,0.9221,,1,0.8194,1.0,team_gk_exclusive_normalization
HAI,johny_placide__hai,Johny Placide,0.8667,transfermarkt_availability_split_2026_06_06,80.0,,0.6958,,1,0.7694,1.0,team_gk_exclusive_normalization
HAI,alexandre_pierre__hai,Alexandre Pierre,0.543,transfermarkt_availability_split_2026_06_06,13.0,,0.8158,,2,0.2055,1.0,team_gk_exclusive_normalization
HAI,josue_duverger__hai,Josue Duverger,0.043,transfermarkt_availability_split_2026_06_06,5.0,,0.6,,3,0.0251,1.0,team_gk_exclusive_normalization
IRN,alireza_beiranvand__irn,Alireza Beiranvand,0.6644,transfermarkt_availability_split_2026_06_06,86.0,5,0.8605,,1,0.9438,1.0,team_gk_exclusive_normalization
IRN,mohammad_khalife__irn,Mohammad Khalife,0.04,transfermarkt_availability_split_2026_06_06,0.0,,0.4299,,3,0.0251,1.0,team_gk_exclusive_normalization
IRN,payam_niazmand__irn,Payam Niazmand,0.0623,transfermarkt_availability_split_2026_06_06,12.0,6,0.9391,,2,0.0311,1.0,team_gk_exclusive_normalization
IRQ,fahad_talib__irq,Fahad Talib,0.2666,transfermarkt_availability_split_2026_06_06,20.0,,0.708,,2,0.0815,1.0,team_gk_exclusive_normalization
IRQ,kumel_al_rekabe__irq,Kumel Al-Rekabe,0.043,transfermarkt_availability_split_2026_06_06,0.0,,0.6,,3,0.0251,1.0,team_gk_exclusive_normalization
IRQ,ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,0.7548,transfermarkt_availability_split_2026_06_06,14.0,,0.7781,,1,0.8934,1.0,team_gk_exclusive_normalization
JOR,abdallah_al_fakhouri__jor,Abdallah Al-Fakhouri,0.043,transfermarkt_availability_split_2026_06_06,7.0,,0.6,,3,0.0251,1.0,team_gk_exclusive_normalization
JOR,yazeed_abulaila__jor,Yazeed Abulaila,0.8957,transfermarkt_availability_split_2026_06_06,59.0,10,0.8167,,1,0.7633,1.0,team_gk_exclusive_normalization
JOR,abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,0.829,transfermarkt_availability_split_2026_06_06,7.0,,0.6702,,2,0.2116,1.0,team_gk_exclusive_normalization
JPN,tomoki_hayakawa__jpn,Tomoki Hayakawa,0.0663,transfermarkt_availability_split_2026_06_06,3.0,3,0.9164,,2,0.0304,1.0,team_gk_exclusive_normalization
JPN,zion_suzuki__jpn,Zion Suzuki,0.8379,transfermarkt_availability_split_2026_06_06,24.0,9,0.6952,,1,0.9433,1.0,team_gk_exclusive_normalization
JPN,keisuke_sako__jpn,Keisuke Osako,0.0606,transfermarkt_availability_split_2026_06_06,11.0,3,0.7064,,3,0.0263,1.0,team_gk_exclusive_normalization
KOR,jo_hyeon_woo__kor,Hyeon-Woo Jo,0.3747,transfermarkt_availability_split_2026_06_06,48.0,8,0.9463,,2,0.2722,1.0001,team_gk_exclusive_normalization
KOR,kim_seung_gyu__kor,Seung-Gyu Kim,0.611,transfermarkt_availability_split_2026_06_06,85.0,8,0.8231,,1,0.7028,1.0001,team_gk_exclusive_normalization
KOR,bum_keun_song__kor,Bum-Keun Song,0.0447,transfermarkt_availability_split_2026_06_06,2.0,,0.698,,3,0.0251,1.0001,team_gk_exclusive_normalization
KSA,mohammed_al_rubaie_al_yami__ksa,Mohammed Al-Rubaie Al-Yami,0.043,transfermarkt_availability_split_2026_06_06,6.0,,0.6,,3,0.0256,0.9999,team_gk_exclusive_normalization
KSA,abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,0.0465,transfermarkt_availability_split_2026_06_06,3.0,,0.8005,,2,0.0296,0.9999,team_gk_exclusive_normalization
KSA,nawaf_al_aqidi__ksa,Nawaf Al-Aqidi,0.3823,transfermarkt_availability_split_2026_06_06,22.0,,0.7002,,1,0.9447,0.9999,team_gk_exclusive_normalization
MAR,el_mehdi_al_harrar__mar,El Mehdi Al Harrar,0.0779,transfermarkt_availability_split_2026_06_06,7.0,,0.6909,,4,0.0185,1.0,team_gk_exclusive_normalization
MAR,munir_el_kajoui__mar,Munir El Kajoui,0.4882,transfermarkt_availability_split_2026_06_06,49.0,1,0.6991,,2,0.1633,1.0,team_gk_exclusive_normalization
MAR,yassine_bono_bounou__mar,Yassine 'Bono' Bounou,0.7955,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,162.0,18,0.6512,,1,0.7956,1.0,team_gk_exclusive_normalization
MAR,el_mehdi_benabid__mar,El Mehdi Benabid,0.2849,transfermarkt_availability_split_2026_06_06,5.0,3,0.6,,3,0.0226,1.0,team_gk_exclusive_normalization
MEX,raul_rangel__mex,Raul Rangel,0.835,transfermarkt_availability_split_2026_06_06,14.0,9,0.961,,1,0.9397,1.0,team_gk_exclusive_normalization
MEX,carlos_acevedo__mex,Carlos Acevedo,0.043,transfermarkt_availability_split_2026_06_06,6.0,0,0.6,,3,0.0251,1.0,team_gk_exclusive_normalization
MEX,guillermo_ochoa__mex,Guillermo Ochoa,0.1374,transfermarkt_availability_split_2026_06_06,148.0,0,0.6206,,2,0.0352,1.0,team_gk_exclusive_normalization
NED,bart_verbruggen__ned,Bart Verbruggen,0.6885,transfermarkt_availability_split_2026_06_06,28.0,9,0.8658,,1,0.9051,1.0,team_gk_exclusive_normalization
NED,justin_bijlow__ned,Justin Bijlow,0.0519,transfermarkt_availability_split_2026_06_06,8.0,0,0.6026,,3,0.0159,1.0,team_gk_exclusive_normalization
NED,mark_flekken__ned,Mark Flekken,0.2887,transfermarkt_availability_split_2026_06_06,11.0,3,0.921,,2,0.0639,1.0,team_gk_exclusive_normalization
NED,robin_roefs__ned,Robin Roefs,0.0478,transfermarkt_availability_split_2026_06_06,0.0,,0.8762,,4,0.0151,1.0,team_gk_exclusive_normalization
NOR,egil_selvik__nor,Egil Selvik,0.0479,transfermarkt_availability_split_2026_06_06,4.0,1,0.8825,,2,0.0253,1.0,team_gk_exclusive_normalization
NOR,sander_tangvik__nor,Sander Tangvik,0.0467,transfermarkt_availability_split_2026_06_06,0.0,0,0.8134,,3,0.0251,1.0,team_gk_exclusive_normalization
NOR,rjan_nyland__nor,Ørjan Nyland,0.9225,transfermarkt_availability_split_2026_06_06,69.0,11,0.9293,,1,0.9496,1.0,team_gk_exclusive_normalization
NZL,michael_woud__nzl,Michael Woud,0.055,transfermarkt_availability_split_2026_06_06,6.0,,0.6,,3,0.0256,0.9999,team_gk_exclusive_normalization
NZL,alex_paulsen__nzl,Alex Paulsen,0.5328,transfermarkt_availability_split_2026_06_06,7.0,,0.795,,1,0.6271,0.9999,team_gk_exclusive_normalization
NZL,max_crocombe__nzl,Max Crocombe,0.3884,transfermarkt_availability_split_2026_06_06,22.0,,0.8066,,2,0.3472,0.9999,team_gk_exclusive_normalization
PAN,luis_mejia__pan,Luis Mejia,0.3014,transfermarkt_availability_split_2026_06_06,55.0,,0.6394,,2,0.1003,1.0,team_gk_exclusive_normalization
PAN,cesar_samudio__pan,Cesar Samudio,0.2284,transfermarkt_availability_split_2026_06_06,3.0,,0.7035,,3,0.0491,1.0,team_gk_exclusive_normalization
PAN,orlando_mosquera__pan,Orlando Mosquera,0.6273,transfermarkt_availability_split_2026_06_06,45.0,10,0.8696,,1,0.8506,1.0,team_gk_exclusive_normalization
PAR,juan_espinola__par,Juan Espinola,0.0436,transfermarkt_availability_split_2026_06_06,1.0,,0.6328,,5,0.015,1.0,team_gk_exclusive_normalization
PAR,orlando_gill__par,Orlando Gill,0.5957,transfermarkt_availability_split_2026_06_06,5.0,5,0.9027,,1,0.4904,1.0,team_gk_exclusive_normalization
