player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
philipp_lienhart__aut,Philipp Lienhart,AUT,DEF,0.6578,0.6915,0.0,0.8608,medium_risk,,transfermarkt_availability_split_2026_06_05,0.0598,2.608975,2.735132,0.07597838838246984,0.19558168567240602,2,4,1,0.5842810879863641,0.6342810879863642,Tvivlsom starter
stefan_posch__aut,Stefan Posch,AUT,DEF,0.636,0.6605,0.0,0.8939,medium_risk,,transfermarkt_availability_split_2026_06_05,0.057818,2.490306,2.583715,0.0725225180230531,0.18668566978223508,3,4,1,0.5646286928793761,0.6146286928793762,Tvivlsom starter
maximilian_w_ber__aut,Maximilian Wöber,AUT,DEF,0.5612,0.6179,0.0,0.7382,medium_risk,,transfermarkt_availability_split_2026_06_05,0.051018,1.642891,1.820632,0.04784415736757319,0.12315924497399355,4,4,1,0.4932581323657781,0.5432581323657781,Tvivlsom starter
marco_friedl__aut,Marco Friedl,AUT,DEF,0.4784,0.5562,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.043491,0.991539,1.299968,0.028875529753395784,0.07433067355184768,5,4,0,0.4168218438428546,0.4168218438428546,Bænk/rotation
david_alaba__aut,David Alaba,AUT,DEF,0.4441,0.4649,0.0,0.8725,medium_risk,,transfermarkt_availability_split_2026_06_05,0.040373,1.60503,1.553718,0.0467415719604502,0.12032099692591222,6,4,0,0.3930661782906137,0.3130661782906137,Langt fra start
kevin_danso__aut,Kevin Danso,AUT,DEF,0.3362,0.3668,0.0,0.7621,medium_risk,,transfermarkt_availability_split_2026_06_05,0.030564,1.080795,1.274226,0.03147483677376421,0.08102174530852463,7,4,0,0.2963639163695406,0.2163639163695406,Langt fra start
alexander_prass__aut,Alexander Prass,AUT,DEF,0.0839,0.0927,0.0,0.7294,medium_risk,,transfermarkt_availability_split_2026_06_05,0.007627,0.437492,0.636368,0.012740611577429258,0.03279656678511379,8,4,0,0.07545968725738283,0.0,Langt fra start
leopold_querfeld__aut,Leopold Querfeld,AUT,DEF,0.0465,0.05,0.0,0.7991,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004227,0.180512,0.285285,0.005256857901549995,0.013532073417375542,9,4,0,0.04126705023681505,0.0,Langt fra start
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,0.6508,0.675,0.0,0.8975,medium_risk,,transfermarkt_availability_split_2026_06_05,0.059164,3.215809,3.415866,0.09365056589880776,0.5631017894952866,1,2,1,0.6467461426066925,0.6967461426066925,Sandsynlig starter
michael_gregoritsch__aut,Michael Gregoritsch,AUT,FWD,0.6037,0.6219,0.0,0.9165,medium_risk,,transfermarkt_availability_split_2026_06_05,0.054882,2.479549,2.695624,0.07220925341766966,0.434179542081401,2,2,1,0.5899114377229747,0.6399114377229748,Tvivlsom starter
raul_florucz__aut,Raul Florucz,AUT,FWD,0.0476,0.05,0.0,0.8641,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004327,0.0,0.0,0.0,0.0,3,2,0,0.04261845,0.04261845,Langt fra start
