team_id,position,team_position_start_rank,player_name,price_m,start_prob,conditional_start_prob,availability_risk,round_specific_rotation_risk,match_1_opponent_team,weighted_group_stage_ev,optimizer_ev,start_prob_source,source_note
SEN,DEF,2,Mamadou Sarr,2.5,0.8315,0.8543,low_risk,,FRA,2.000551,2.000551,transfermarkt_availability_split_2026_06_07,
SEN,FWD,1,Sadio Mane,5.0,0.8922,0.97,medium_risk,,FRA,4.114479,4.114479,transfermarkt_availability_split_2026_06_07,
SEN,FWD,2,Krepin Diatta,2.5,0.8592,0.97,medium_risk,,FRA,0.98622,0.98622,transfermarkt_availability_split_2026_06_07,
SEN,FWD,3,Nicolas Jackson,4.5,0.6014,0.647,medium_risk,,FRA,2.745083,2.745083,transfermarkt_availability_split_2026_06_07,
SEN,GK,1,Edouard Mendy,3.5,0.6706,0.6706,medium_risk,,FRA,2.191106,2.191106,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
SEN,MID,1,Bara Sapoko Ndiaye,2.0,0.8851,0.97,unknown,,FRA,0.423265,0.423265,transfermarkt_availability_split_2026_06_07,
SEN,MID,2,Iliman Ndiaye,3.0,0.8253,0.9147,medium_risk,,FRA,2.955685,2.955685,transfermarkt_availability_split_2026_06_07,
SEN,MID,3,Idrissa Gana Gueye,3.0,0.6524,0.7005,medium_risk,,FRA,1.964495,1.964495,transfermarkt_availability_split_2026_06_07,
SEN,MID,4,Ismaila Sarr,3.5,0.6015,0.6526,medium_risk,medium,FRA,1.545315,1.545315,manual_context_override_safe,Existing raw country start-security row is 0.6015 with base_start_score 0.6526; canonical availability split over-promoted him to probable starter.
SUI,DEF,1,Manuel Akanji,3.5,0.9398,0.97,low_risk,,QAT,3.616232,3.616232,transfermarkt_availability_split_2026_06_07,
SUI,DEF,2,Nico Elvedi,3.0,0.8785,0.912,low_risk,,QAT,3.252903,3.252903,transfermarkt_availability_split_2026_06_07,
SUI,DEF,3,Silvan Widmer,3.0,0.84,0.89,medium_risk,medium,QAT,4.034261,4.034261,manual_context_override_safe,Manual context review: expected Switzerland right-back. Recent reduced friendly minutes assessed mainly as managed minutes.
SUI,FWD,1,Ruben Vargas,3.5,0.9149,0.9493,low_risk,,QAT,3.464207,3.464207,transfermarkt_availability_split_2026_06_07,
SUI,FWD,2,Breel Embolo,5.0,0.9109,0.9544,low_risk,,QAT,4.545357,4.545357,transfermarkt_availability_split_2026_06_07,
SUI,FWD,3,Dan Ndoye,4.0,0.906,0.9508,low_risk,,QAT,3.720172,3.720172,transfermarkt_availability_split_2026_06_07,
SUI,GK,1,Gregor Kobel,4.0,0.92,0.96,low_risk,low,QAT,3.7209075560415528,3.7209075560415528,manual_context_override_safe,Manual context review: established Switzerland first-choice goalkeeper. Recent friendly benches assessed as rotation.
SUI,MID,1,Remo Freuler,3.5,0.9381,0.9569,low_risk,,QAT,3.751433,3.751433,transfermarkt_availability_split_2026_06_07,
SUI,MID,2,Granit Xhaka,4.0,0.9302,0.97,low_risk,,QAT,3.088562,3.088562,transfermarkt_availability_split_2026_06_07,
SUI,MID,3,Michel Aebischer,2.5,0.8008,0.8447,low_risk,,QAT,1.900445,1.900445,transfermarkt_availability_split_2026_06_07,
SWE,DEF,1,Isak Hien,2.5,0.9237,0.9653,low_risk,,TUN,2.164434,2.164434,transfermarkt_availability_split_2026_06_07,
SWE,DEF,2,Daniel Svensson,3.0,0.8525,0.8727,low_risk,,TUN,2.417482,2.417482,transfermarkt_availability_split_2026_06_07,
SWE,DEF,3,Gabriel Gudmundsson,3.0,0.8488,0.9198,medium_risk,,TUN,2.4509,2.4509,transfermarkt_availability_split_2026_06_07,
SWE,DEF,4,Gustaf Lagerbielke,3.0,0.7784,0.9051,high_risk,,TUN,2.308721,2.308721,transfermarkt_availability_split_2026_06_07,
SWE,DEF,5,Victor Lindelöf,3.0,0.6257,0.6984,medium_risk,,TUN,1.926553,1.926553,transfermarkt_availability_split_2026_06_07,
SWE,FWD,1,Viktor Gyökeres,6.0,0.8149,0.9427,high_risk,,TUN,2.202388,2.202388,transfermarkt_availability_split_2026_06_07,
