team_id,team_name,gk_count,sum_start_prob,max_start_prob,over_100_flag,multiple_high_gk_flag,player_name,player_id,start_prob,conditional_start_prob,start_prob_source,optimizer_ev,price
GER,Tyskland,5,1.0,0.6554,FALSE,FALSE,Manuel Neuer,manuel_neuer__ger,0.2771,0.2771,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,6.613654,5099000
GER,Tyskland,5,1.0,0.6554,FALSE,FALSE,Alexander Nübel,alexander_n_bel__ger,0.0675,0.0675,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.526685,4495000
GER,Tyskland,5,1.0,0.6554,FALSE,FALSE,Jonas Urbig,jonas_urbig__ger,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,4000000
GER,Tyskland,5,1.0,0.6554,FALSE,FALSE,Finn Dahmen,finn_dahmen__ger,0.0,0.0,transfermarkt_availability_split_2026_06_07,0.0,4000000
GHA,Ghana,5,1.0,0.8194,FALSE,FALSE,Benjamin Asare,benjamin_asare__gha,0.8194,0.8194,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,1.902633,3057000
GHA,Ghana,5,1.0,0.8194,FALSE,FALSE,Lawrence Ati Zigi,lawrence_ati_zigi__gha,0.1554,0.1554,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.472603,3037000
GHA,Ghana,5,1.0,0.8194,FALSE,FALSE,Joseph Anang,joseph_anang__gha,0.0252,0.0252,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
GHA,Ghana,5,1.0,0.8194,FALSE,FALSE,Solomon Agbasi,solomon_agbasi__gha,0.0,0.0,holdet_official_unmatched_default,0.0,2500000
GHA,Ghana,5,1.0,0.8194,FALSE,FALSE,Paul Reverson,paul_reverson__gha,0.0,0.0,holdet_official_unmatched_default,0.0,2500000
HAI,Haiti,3,1.0,0.8957,FALSE,FALSE,Johny Placide,johny_placide__hai,0.8957,0.8957,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.305088,2496000
