player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
matt_turner__usa,49532,Matt Turner,USA,GK,holdet_player_id,2990000,2990000,2995000,5000
roberto_gatito_fernandez__par,49777,Roberto 'Gatito' Fernandez,Paraguay,GK,holdet_player_id,2990000,2990000,2995000,5000
gaston_olveira__par,49130,Gaston Olveira,Paraguay,GK,holdet_player_id,2990000,2990000,2995000,5000
orlando_gill__par,49689,Orlando Gill,Paraguay,GK,holdet_player_id,3144000,3144000,2997000,-147000
raul_rangel__mex,49755,Raul Rangel,Mexico,GK,holdet_player_id,4264000,4264000,4137000,-127000
guillermo_ochoa__mex,49155,Guillermo Ochoa,Mexico,GK,holdet_player_id,2990000,2990000,2995000,5000
jo_hyeon_woo__kor,49199,Hyeon-Woo Jo,Sydkorea,GK,holdet_player_id,3490000,3490000,3495000,5000
carlos_acevedo__mex,48934,Carlos Acevedo,Mexico,GK,holdet_player_id,3490000,3490000,3495000,5000
kim_seung_gyu__kor,49840,Seung-Gyu Kim,Sydkorea,GK,holdet_player_id,3065000,3065000,3059000,-6000
bum_keun_song__kor,48924,Bum-Keun Song,Sydkorea,GK,holdet_player_id,2490000,2490000,2495000,5000
zion_suzuki__jpn,49995,Zion Suzuki,Japan,GK,holdet_player_id,4183000,4183000,4036000,-147000
keisuke_sako__jpn,49378,Keisuke Osako,Japan,GK,holdet_player_id,3490000,3490000,3495000,5000
tomoki_hayakawa__jpn,49905,Tomoki Hayakawa,Japan,GK,holdet_player_id,3490000,3490000,3495000,5000
alban_lafont__civ,48765,Alban Lafont,Elfenbenskysten,GK,holdet_player_id,2490000,2490000,2495000,5000
yahia_fofana__civ,49954,Yahia Fofana,Elfenbenskysten,GK,holdet_player_id,3140000,3140000,3122000,-18000
mohamed_kone__civ,49580,Mohamed Kone,Elfenbenskysten,GK,holdet_player_id,2990000,2990000,2995000,5000
alisson_becker__bra,48806,Alisson Becker,Brasilien,GK,holdet_player_id,5171000,5171000,5019000,-152000
ederson_moraes__bra,49042,Ederson Moraes,Brasilien,GK,holdet_player_id,4990000,4990000,4995000,5000
weverton__bra,50033,Weverton,Brasilien,GK,holdet_player_id,3990000,3990000,3995000,5000
