match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
2,KOR,CZE,2026-06-12 04:00,2.75,3.15,2.95,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
3,CAN,BIH,2026-06-12 21:00,1.85,3.5,5,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
4,USA,PAR,2026-06-13 03:00,1.95,3.4,4.5,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
5,QAT,SUI,2026-06-13 21:00,16,7,1.23,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
6,BRA,MAR,2026-06-14 00:00,1.65,3.9,6.1,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
7,HAI,SCO,2026-06-14 03:00,6.4,4.35,1.58,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
8,AUS,TUR,2026-06-14 06:00,5.6,3.85,1.7,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
9,GER,CUW,2026-06-14 19:00,1.05,23.0,46.0,,,,,Unibet,2026-06-14T12:31:07+02:00,14.06 kl. 12:31,GER,CUW,,
10,NED,JPN,2026-06-14 22:00,2.08,3.6,3.85,,,,,Unibet,2026-06-14T12:31:07+02:00,14.06 kl. 12:31,NED,JPN,,
11,CIV,ECU,2026-06-15 01:00,3.4,2.85,2.63,,,,,Unibet,2026-06-14T12:31:07+02:00,14.06 kl. 12:31,CIV,ECU,,
12,SWE,TUN,2026-06-15 04:00,1.96,3.5,4.35,,,,,Unibet,2026-06-14T12:31:07+02:00,14.06 kl. 12:31,SWE,TUN,,
13,ESP,CPV,2026-06-15 18:00,1.1,13.0,26.0,,,,,Unibet,2026-06-14T12:31:07+02:00,14.06 kl. 12:31,ESP,CPV,,
14,BEL,EGY,2026-06-15 21:00,1.57,4.20,6.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,BEL,EGY,GROUP,G
15,KSA,URU,2026-06-16 00:00,9.50,4.50,1.43,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,KSA,URU,GROUP,H
16,IRN,NZL,2026-06-16 03:00,1.80,3.50,5.40,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,IRN,NZL,GROUP,G
17,FRA,SEN,2026-06-16 21:00,1.45,4.60,8.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,FRA,SEN,GROUP,I
