player_id,player_name,team_id,position,price,start_prob,missing_goal_share_norm,missing_assist_share_norm,missing_sot_share_norm,round_context_source,current_weighted_group_stage_ev_before_price_quality,current_optimizer_ev,price_band,offensive_role_score,fallback_base_ev_variant_a,fallback_base_ev_variant_b,confidence,reason_flags
ben_doak__sco,Ben Doak,SCO,MID,3000000,0.8408,True,True,True,distributed_from_existing_optimizer_ev,0.47953,1.191325,upper_mid,0.6521409841932361,2.1361543751098786,1.0337576664282444,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
mohamed_kanno__ksa,Mohamed Kanno,KSA,MID,3000000,0.8439,True,True,True,distributed_from_existing_optimizer_ev,0.317411,1.102159,upper_mid,0.6507754389915964,1.4130859343110074,1.5281633368971783,medium,high_priority_offensive_starter;legacy_aggregate_round_context
ahmed_alaaeldin_abdelmotaal__qat,Ahmed Alaaeldin Abdelmotaal,QAT,FWD,3000000,0.4247,True,True,True,distributed_from_existing_optimizer_ev,0.050007,0.095004,upper_mid,0.6490866115511219,1.096409677653728,0.8978436478251306,high,legacy_aggregate_round_context;no_transfermarkt_usage_match
lewis_ferguson__sco,Lewis Ferguson,SCO,MID,2000000,0.5651,True,True,True,distributed_from_existing_optimizer_ev,0.269633,0.32767,budget,0.6441195873132708,1.2491744860298106,0.6078591806734396,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
alvaro_fidalgo__mex,Alvaro Fidalgo,MEX,MID,2500000,0.8834,True,True,True,distributed_from_existing_optimizer_ev,0.506231,0.831369,lower_mid,0.6441155905438647,2.887117276802826,1.5494099133584234,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
baris_alper_yilmaz__tur,Baris Alper Yilmaz,TUR,FWD,3000000,0.3506,True,True,True,distributed_from_existing_optimizer_ev,0.442454,0.542006,upper_mid,0.6383645102594111,1.3844779918573884,0.7283178042112703,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
sphephelo_yaya_sithole__rsa,Sphephelo Yaya Sithole,RSA,MID,3000000,0.8032,True,True,True,distributed_from_existing_optimizer_ev,0.276811,1.079829,upper_mid,0.6379905615231375,1.3620020370123442,0.22651400732225438,low,goal_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
evann_guessand__civ,Evann Guessand,CIV,FWD,3000000,0.3765,True,True,True,distributed_from_existing_optimizer_ev,0.17099,0.209463,upper_mid,0.6375733155440618,1.3882224762447883,1.0639313579452854,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
don_deedson_louicius__hai,Don Deedson Louicius,HAI,FWD,3000000,0.3745,True,True,True,distributed_from_existing_optimizer_ev,0.150481,0.184339,upper_mid,0.6363265075943276,0.824642886289242,0.42631120574880293,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
jose_fajardo__pan,Jose Fajardo,PAN,FWD,3000000,0.3516,True,True,True,distributed_from_existing_optimizer_ev,0.317517,0.388958,upper_mid,0.6347243469458101,0.9034173537688486,0.6374576369591954,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
