player_id,player_name,team_id,position,match_no,opponent,start_prob,clean_sheet_prob_used,old_clean_sheet_ev,new_clean_sheet_ev,old_weighted_match_ev,new_weighted_match_ev,repair_status
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,2,ARG,0.6508,0.1883,0.0,0,0.554691,0.554691,unchanged_already_consistent
marko_arnautovi__aut,Marko Arnautovic,AUT,FWD,3,ALG,0.6508,0.3547,0.0,0,0.935194,0.935194,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,1,CUW,0.9521,0.6881,0.0,0,1.458535,1.458535,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,2,CIV,0.9521,0.4226,0.0,0,1.143114,1.143115,unchanged_already_consistent
joshua_kimmich__ger,Joshua Kimmich,GER,MID,3,ECU,0.9521,0.411,0.0,0,0.863638,0.863638,unchanged_already_consistent
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,1,SEN,0.6651,0.4624,0.307542,0.307542,1.066909,1.066909,unchanged_already_consistent
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,2,IRQ,0.6651,0.6627,0.440762,0.440762,1.301912,1.301912,unchanged_already_consistent
theo_hern_ndez__fra,Theo Hernandez,FRA,DEF,3,NOR,0.6651,0.375,0.249413,0.249413,0.749526,0.749526,unchanged_already_consistent
marc_cucurella__esp,Marc Cucurella,ESP,DEF,1,CPV,0.5921,0.625,0.370062,0.370062,1.156983,1.156983,unchanged_already_consistent
marc_cucurella__esp,Marc Cucurella,ESP,DEF,2,KSA,0.5921,0.6627,0.392385,0.392385,1.372007,1.372007,unchanged_already_consistent
marc_cucurella__esp,Marc Cucurella,ESP,DEF,3,URU,0.5921,0.4226,0.250221,0.250221,0.880065,0.880065,unchanged_already_consistent
camilo_vargas__col,Camilo Vargas,COL,GK,1,UZB,0.7895,0.5,0.39475,0.39475,1.275228,1.275228,unchanged_already_consistent
camilo_vargas__col,Camilo Vargas,COL,GK,2,COD,0.7895,0.5376,0.424435,0.424435,1.250799,1.2508,unchanged_already_consistent
camilo_vargas__col,Camilo Vargas,COL,GK,3,POR,0.7895,0.25,0.197375,0.197375,0.599949,0.59995,unchanged_already_consistent
chris_richards__usa,Chris Richards,USA,DEF,1,PAR,0.8242,0.411,0.338746,0.338746,1.367184,1.367184,unchanged_already_consistent
chris_richards__usa,Chris Richards,USA,DEF,2,AUS,0.8242,0.4226,0.348307,0.348307,1.394237,1.394237,unchanged_already_consistent
chris_richards__usa,Chris Richards,USA,DEF,3,TUR,0.8242,0.2766,0.227974,0.227974,0.824526,0.824527,unchanged_already_consistent
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,1,CPV,0.5637,0.625,0.0,0,1.084271,1.084271,unchanged_already_consistent
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,2,KSA,0.5637,0.6627,0.0,0,1.246076,1.246076,unchanged_already_consistent
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,3,URU,0.5637,0.4226,0.0,0,0.875684,0.875684,unchanged_already_consistent
johan_v_squez__mex,Johan Vasquez,MEX,DEF,1,RSA,0.8335,0.5376,0.44809,0.44809,1.481587,1.481587,unchanged_already_consistent
johan_v_squez__mex,Johan Vasquez,MEX,DEF,2,KOR,0.8335,0.4415,0.36799,0.36799,1.142651,1.142651,unchanged_already_consistent
johan_v_squez__mex,Johan Vasquez,MEX,DEF,3,CZE,0.8335,0.411,0.342568,0.342568,0.949576,0.949576,unchanged_already_consistent
donyell_malen__ned,Donyell Malen,NED,FWD,1,JPN,0.7971,0.3373,0.0,0,1.003406,1.003406,unchanged_already_consistent
donyell_malen__ned,Donyell Malen,NED,FWD,2,SWE,0.7971,0.4226,0.0,0,1.096141,1.096142,unchanged_already_consistent
donyell_malen__ned,Donyell Malen,NED,FWD,3,TUN,0.7971,0.4624,0.0,0,0.943411,0.943412,unchanged_already_consistent
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,1,JOR,0.9004,0.4865,0.0,0,1.947109,1.947109,unchanged_already_consistent
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,2,ARG,0.9004,0.1883,0.0,0,0.540723,0.540723,unchanged_already_consistent
marcel_sabitzer__aut,Marcel Sabitzer,AUT,MID,3,ALG,0.9004,0.3547,0.0,0,0.993371,0.993371,unchanged_already_consistent
dan_ndoye__sui,Dan Ndoye,SUI,FWD,1,QAT,0.902,0.5585,0.0,0,1.174829,1.174829,unchanged_already_consistent
