kind,method,resource_type,status,url,post_data,content_type
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/7817.95947e6b8163ffb76928.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/3038.26a5c4c231dde1a76be8.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/78.4de2b159e6399295d22b.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8454.bdfb047f02f7ccd3eafb.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/1703.dccdddea2aa55bcf9b58.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2529.7d3005ec15cc797a0282.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/7297.0a58a588c332f662e70e.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/3825.c243b87aa165fd5d5ac8.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/6486.36fabf61f9d0886e7783.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/1522.36360cabb8f6eeaf0c39.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8487.14749e985c5f3ff3df59.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2600.712e2b85b5421b6de207.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/main.e92a6320bc551d711f83.bundle.js?v=49.4.31-SNAPSHOT,,
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/9151.daab463a547768640c39.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/2899.0786a5f99ea5f5bb865e.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/runtime.5f560c03c43e843b02d3.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/6008.019353fe613aa19b8485.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
response,,,200,https://assets.sb.danskespil.dk/front-end/assets/4401.db8e2ed580fc9fa7dc33.bundle.js?v=49.4.31-SNAPSHOT,,application/javascript
