player_id,player_name,team_id,position,match_no,opponent,start_prob,appearance_prob_used,old_on_pitch_ev,new_on_pitch_ev,old_result_ev,new_result_ev,old_team_scores_ev,new_team_scores_ev,old_opponent_scores_ev,new_opponent_scores_ev,old_weighted_match_ev,new_weighted_match_ev,repair_reason
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,2,IRN,0.9486,0.9486,0.063832,0.063832,0.101127,3.307863,0.068252,0.09486,-0.046587,-0.075888,1.438931,4.482772,rebuilt_from_match_context_and_appearance_prob
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,3,NZL,0.9486,0.9486,0.063832,0.063832,0.088473,2.893894,0.065368,0.09486,-0.049331,-0.075888,1.379015,3.906535,rebuilt_from_match_context_and_appearance_prob
joshua_kimmich__ger,Joshua Kimmich,GER,MID,1,CUW,0.9525,0.9525,0.0643,0.0643,0.223104,0.223104,0.080657,0.09525,-0.049494,-0.0762,1.819438,1.807325,rebuilt_from_match_context_and_appearance_prob
joshua_kimmich__ger,Joshua Kimmich,GER,MID,2,CIV,0.9525,0.9525,0.0643,0.0643,0.114983,10.038016,0.078948,0.09525,-0.053366,-0.0762,1.406928,10.827604,rebuilt_from_match_context_and_appearance_prob
joshua_kimmich__ger,Joshua Kimmich,GER,MID,3,ECU,0.9525,0.9525,0.0643,0.0643,0.090957,7.940516,0.072083,0.09525,-0.059032,-0.0762,1.040558,8.11056,rebuilt_from_match_context_and_appearance_prob
luis_d_az__col,Luis Diaz,COL,FWD,1,UZB,0.9323,0.9324,0.061888,0.061888,0.158919,0.158919,0.065473,0.09324,-0.052018,-0.074592,1.489901,1.495094,rebuilt_from_match_context_and_appearance_prob
luis_d_az__col,Luis Diaz,COL,FWD,2,COD,0.9323,0.9324,0.061888,0.061888,0.101691,2.742655,0.069656,0.09324,-0.048227,-0.074592,1.526184,4.032457,rebuilt_from_match_context_and_appearance_prob
luis_d_az__col,Luis Diaz,COL,FWD,3,POR,0.9323,0.9324,0.061888,0.061888,0.090548,2.442049,0.066872,0.09324,-0.051132,-0.074592,0.513941,2.632909,rebuilt_from_match_context_and_appearance_prob
tajon_buchanan__can,Tajon Buchanan,CAN,MID,1,BIH,0.8774,0.9066,0.058792,0.058792,0.093936,0.093936,0.079941,0.09066,-0.056438,-0.072528,1.739439,1.734068,rebuilt_from_match_context_and_appearance_prob
tajon_buchanan__can,Tajon Buchanan,CAN,MID,2,QAT,0.8774,0.9066,0.058792,0.058792,0.120763,10.542579,0.081664,0.09066,-0.055368,-0.072528,2.275474,12.168444,rebuilt_from_match_context_and_appearance_prob
tajon_buchanan__can,Tajon Buchanan,CAN,MID,3,SUI,0.8774,0.9066,0.058792,0.058792,0.083353,7.276734,0.071444,0.09066,-0.063952,-0.072528,0.572566,7.056185,rebuilt_from_match_context_and_appearance_prob
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,1,ALG,0.6306,0.7993,0.045916,0.045916,0.135931,0.135931,0.056135,0.07993,-0.038682,-0.063944,1.437073,1.435606,rebuilt_from_match_context_and_appearance_prob
juli_n_lvarez__arg,Julian Alvarez,ARG,FWD,2,AUT,0.6306,0.7993,0.045916,0.045916,0.082332,6.799805,0.056138,0.07993,-0.039334,-0.063944,1.138757,7.51958,rebuilt_from_match_context_and_appearance_prob
