player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,recency_weight_sum,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
max_arfsten__usa,Max Arfsten,USA,DEF,ukendt,Ukendt,21,13,0,0,0,0,0,5.25,3.25,0.0,0.0,0.619,0.0,0.0,0.619,0.0,0.0,0.45,0.2786,0.2786
max_crocombe__nzl,Max Crocombe,NZL,GK,ukendt,Ukendt,63,22,0,19,0,0,19,15.75,5.5,0.0,4.75,0.349,0.0,0.302,0.349,0.0,0.302,0.45,0.157,0.157
maxence_lacroix__fra,Maxence Lacroix,FRA,DEF,ukendt,Ukendt,3,1,0,0,0,0,0,0.75,0.25,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.45,0.1498,0.1498
maxi_araujo__uru,Maxi Araujo,URU,MID,ukendt,Ukendt,36,26,0,8,3,0,5,9.0,6.5,0.0,2.0,0.722,0.0,0.222,0.722,0.0,0.222,0.45,0.3249,0.3249
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,ukendt,Ukendt,25,15,0,2,1,0,1,6.25,3.75,0.0,0.5,0.6,0.0,0.08,0.6,0.0,0.08,0.45,0.27,0.27
maxime_cr_peau__can,Maxime Crepeau,CAN,GK,ukendt,Ukendt,117,30,0,37,16,0,20,29.25,7.5,0.0,9.25,0.256,0.0,0.316,0.256,0.0,0.316,0.45,0.1152,0.1152
maximilian_beier__ger,Maximilian Beier,GER,FWD,ukendt,Ukendt,28,0,0,13,2,0,11,7.0,0.0,0.0,3.25,0.0,0.0,0.464,0.0,0.0,0.464,0.45,0.0,0.0
maximilian_w_ber__aut,Maximilian Wöber,AUT,DEF,ukendt,Ukendt,88,22,0,43,12,0,31,22.0,5.5,0.0,10.75,0.25,0.0,0.489,0.25,0.0,0.489,0.45,0.1125,0.1125
mbekezeli_mbokazi__rsa,Mbekezeli Mbokazi,RSA,DEF,ukendt,Ukendt,18,10,0,5,0,0,5,4.5,2.5,0.0,1.25,0.556,0.0,0.278,0.556,0.0,0.278,0.45,0.2502,0.2502
mehdi_dorval__alg,Mehdi Dorval,ALG,DEF,ukendt,Ukendt,15,0,0,5,0,0,5,3.75,0.0,0.0,1.25,0.0,0.0,0.333,0.0,0.0,0.333,0.45,0.0,0.0
mehdi_ghayedi__irn,Mehdi Ghayedi,IRN,MID,ukendt,Ukendt,68,14,0,33,9,0,23,17.0,3.5,0.0,8.25,0.206,0.0,0.485,0.206,0.0,0.485,0.45,0.0927,0.0927
