player_id,player_name,team_id,position,price_m,transfermarkt_player_id,transfermarkt_profile_url,transfermarkt_national_url,transfermarkt_caps_goals_link_found,transfermarkt_table_source,tm_caps,tm_goals,tm_rows_total,tm_appeared_or_started_rows,tm_started_estimate_total,tm_on_bench_total,tm_not_in_squad_total,recent_20_started_estimate,recent_20_on_bench,recent_20_not_in_squad,recent_20_start_share,recent_10_start_share,last_national_row_date,national_team_usage_score,scraped_at
ngal_ayel_mukau__cod,Ngal'ayel Mukau,COD,MID,2.5,1016015,https://www.transfermarkt.com/ngalayel-mukau/profil/spieler/1016015,https://www.transfermarkt.de/ngalayel-mukau/nationalmannschaft/spieler/1016015/verein_id/3854,True,ceapi_performance_game,13.0,0.0,24,15,8,0,9,7,0,9,0.35,0.6,2026-06-03,0.3945,2026-06-05T13:03:41
nawaf_al_boushal__ksa,Nawaf Al-Boushal,KSA,DEF,2.5,821377,https://www.transfermarkt.com/nawaf-boushal/profil/spieler/821377,https://www.transfermarkt.de/nawaf-boushal/nationalmannschaft/spieler/821377/verein_id/3807,True,ceapi_performance_game,25.0,0.0,70,29,21,0,41,14,0,1,0.7,0.8,2026-05-31,0.685,2026-06-05T13:03:54
nawaf_al_aqidi__ksa,Nawaf Al-Aqidi,KSA,GK,2.5,886183,https://www.transfermarkt.com/nawaf-al-aqidi/profil/spieler/886183,https://www.transfermarkt.de/nawaf-al-aqidi/nationalmannschaft/spieler/886183/verein_id/3807,True,ceapi_performance_game,22.0,0.0,66,43,22,0,23,14,0,3,0.7,0.6,2026-05-31,0.623,2026-06-05T13:04:07
nathaniel_brown__ger,Nathaniel Brown,GER,DEF,2.5,691892,https://www.transfermarkt.com/nathaniel-brown/profil/spieler/691892,https://www.transfermarkt.de/nathaniel-brown/nationalmannschaft/spieler/691892/verein_id/3262,True,ceapi_performance_game,4.0,0.0,7,7,2,0,0,2,0,0,0.286,0.286,2026-05-31,0.2448,2026-06-05T13:04:21
nathanael_mbuku__cod,Nathanael Mbuku,COD,MID,2.5,557614,https://www.transfermarkt.com/nathanael-mbuku/profil/spieler/557614,https://www.transfermarkt.de/nathanael-mbuku/nationalmannschaft/spieler/557614/verein_id/3854,True,ceapi_performance_game,18.0,2.0,26,19,9,0,7,8,0,5,0.4,0.5,2026-06-03,0.417,2026-06-05T13:04:34
nasser_al_dawsari__ksa,Nasser Al-Dawsari,KSA,MID,2.5,509911,https://www.transfermarkt.com/nasser-al-dawsari/profil/spieler/509911,https://www.transfermarkt.de/nasser-al-dawsari/nationalmannschaft/spieler/509911/verein_id/3807,True,ceapi_performance_game,43.0,0.0,81,51,28,0,30,7,0,8,0.35,0.4,2026-05-31,0.4645,2026-06-05T13:04:48
nadiem_amiri__ger,Nadiem Amiri,GER,MID,2.5,232454,https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454,https://www.transfermarkt.de/nadiem-amiri/nationalmannschaft/spieler/232454/verein_id/3262,True,ceapi_performance_game,10.0,1.0,79,15,2,0,64,1,0,13,0.05,0.0,2026-05-31,0.0675,2026-06-05T13:05:05
musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,2.5,901181,https://www.transfermarkt.com/musab-al-juwayr/profil/spieler/901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807,True,ceapi_performance_game,34.0,6.0,52,34,26,0,18,11,0,4,0.55,0.6,2026-05-31,0.5885,2026-06-05T13:05:18
mukhammadkodir_khamraliev__uzb,Mukhammadkodir Khamraliev,UZB,DEF,2.5,883732,https://www.transfermarkt.com/mukhammadkodir-khamraliev/profil/spieler/883732,https://www.transfermarkt.de/mukhammadkodir-khamraliev/nationalmannschaft/spieler/883732/verein_id/3563,True,ceapi_performance_game,7.0,0.0,30,20,6,0,10,5,0,8,0.25,0.5,2026-03-30,0.2905,2026-06-05T13:05:34
morten_thorsby__nor,Morten Thorsby,NOR,MID,2.5,226524,https://www.transfermarkt.com/morten-thorsby/profil/spieler/226524,https://www.transfermarkt.de/morten-thorsby/nationalmannschaft/spieler/226524/verein_id/3440,True,ceapi_performance_game,31.0,0.0,84,48,19,0,36,7,0,4,0.35,0.2,2026-06-01,0.3665,2026-06-05T13:05:48
