player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
billy_gilmour__sco,Billy Gilmour,SCO,MID,58,37,0.2871,0.2871,0.45,0.638,0.638
blas_riveros__par,Blas Riveros,PAR,DEF,96,12,0.0562,0.0562,0.45,0.1249,0.1249
bongokuhle_hlongwane__rsa,Bongokuhle Hlongwane,RSA,FWD,59,13,0.099,0.099,0.45,0.22,0.22
borja_iglesias__esp,Borja Iglesias,ESP,FWD,48,1,0.0094,0.0094,0.45,0.0209,0.0209
botirali_ergashev__uzb,Botirali Ergashev,UZB,GK,94,3,0.0144,0.0144,0.45,0.032,0.032
boualem_khoukhi__qat,Boualem Khoukhi,QAT,DEF,183,112,0.2754,0.2754,0.45,0.612,0.612
bradley_barcola__fra,Bradley Barcola,FRA,MID,27,8,0.1332,0.1332,0.45,0.296,0.296
brahim_d_az__mar,Brahim Diaz,MAR,FWD,44,22,0.225,0.225,0.45,0.5,0.5
braian_ojeda__par,Braian Ojeda,PAR,MID,53,8,0.068,0.068,0.45,0.1511,0.1511
brandley_kuwas__cuw,Brandley Kuwas,CUW,FWD,63,25,0.1786,0.1786,0.45,0.3969,0.3969
brandon_mechele__bel,Brandon Mechele,BEL,DEF,87,5,0.0256,0.0256,0.45,0.0569,0.0569
brandon_thomas_asante__gha,Brandon Thomas-Asante,GHA,FWD,21,1,0.0216,0.0216,0.45,0.048,0.048
breel_embolo__sui,Breel Embolo,SUI,FWD,130,65,0.225,0.225,0.45,0.5,0.5
bremer__bra,Bremer,BRA,DEF,43,4,0.0418,0.0418,0.45,0.0929,0.0929
brenden_aaronson__usa,Brenden Aaronson,USA,MID,95,24,0.1138,0.1138,0.45,0.2529,0.2529
brian_brobbey__ned,Brian Brobbey,NED,FWD,45,5,0.05,0.05,0.45,0.1111,0.1111
brian_cipenga__cod,Brian Cipenga,COD,MID,12,0,0.0,0.0,0.45,0.0,0.0
brian_gutierrez__mex,Brian Gutierrez,MEX,MID,8,6,0.3375,0.3375,0.45,0.75,0.75
brian_rodr_guez__uru,Brian Rodriguez,URU,FWD,75,22,0.1318,0.1318,0.45,0.2929,0.2929
brice_samba__fra,Brice Samba,FRA,GK,39,4,0.0463,0.0463,0.45,0.1029,0.1029
bruno_fernandes__por,Bruno Fernandes,POR,MID,107,71,0.2988,0.2988,0.45,0.664,0.664
bruno_guimaraes__bra,Bruno Guimaraes,BRA,MID,69,31,0.202,0.202,0.45,0.4489,0.4489
bukayo_saka__eng,Bukayo Saka,ENG,FWD,77,37,0.2164,0.2164,0.45,0.4809,0.4809
bum_keun_song__kor,Bum-Keun Song,KOR,GK,69,2,0.013,0.013,0.45,0.0289,0.0289
c_dric_bakambu__cod,Cedric Bakambu,COD,FWD,129,57,0.1989,0.1989,0.45,0.442,0.442
c_sar_blackman__pan,Cesar Blackman,PAN,DEF,105,25,0.1071,0.1071,0.45,0.238,0.238
c_sar_montes__mex,Cesar Montes,MEX,DEF,154,60,0.1755,0.1755,0.45,0.39,0.39
c_sar_yanis__pan,Cesar Yanis,PAN,MID,94,19,0.0909,0.0909,0.45,0.202,0.202
caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,12,8,0.3002,0.3002,0.45,0.6671,0.6671
callan_elliot__nzl,Callan Elliot,NZL,DEF,33,1,0.0135,0.0135,0.45,0.03,0.03
callum_elder__aus,Callum Elder,AUS,DEF,53,0,0.0,0.0,0.45,0.0,0.0
callum_mccowatt__nzl,Callum McCowatt,NZL,MID,49,23,0.211,0.211,0.45,0.4689,0.4689
cameron_burgess__aus,Cameron Burgess,AUS,DEF,34,21,0.2781,0.2781,0.45,0.618,0.618
camilo_vargas__col,Camilo Vargas,COL,GK,165,40,0.1089,0.1089,0.45,0.242,0.242
carl_sainte__hai,Carl Sainte,HAI,MID,39,12,0.1386,0.1386,0.45,0.308,0.308
carl_starfelt__swe,Carl Starfelt,SWE,DEF,69,11,0.0716,0.0716,0.45,0.1591,0.1591
carlens_arcus__hai,Carlens Arcus,HAI,DEF,78,51,0.2943,0.2943,0.45,0.654,0.654
carlos_acevedo__mex,Carlos Acevedo,MEX,GK,78,6,0.0346,0.0346,0.45,0.0769,0.0769
carlos_andres_gomez__col,Carlos Andres Gomez,COL,MID,31,2,0.0292,0.0292,0.45,0.0649,0.0649
carlos_harvey__pan,Carlos Harvey,PAN,MID,106,18,0.0765,0.0765,0.45,0.17,0.17
carlos_miguel_coronel__par,Carlos Miguel Coronel,PAR,GK,24,9,0.1688,0.1688,0.45,0.3751,0.3751
carlos_rodriguez__mex,Carlos Rodriguez,MEX,MID,120,39,0.1463,0.1463,0.45,0.3251,0.3251
casemiro__bra,Casemiro,BRA,MID,191,76,0.1791,0.1791,0.45,0.398,0.398
cecilio_waterman__pan,Cecilio Waterman,PAN,FWD,246,24,0.0441,0.0441,0.45,0.098,0.098
cedric_itten__sui,Cedric Itten,SUI,FWD,78,5,0.0288,0.0288,0.45,0.064,0.064
cesar_samudio__pan,Cesar Samudio,PAN,GK,69,3,0.0194,0.0194,0.45,0.0431,0.0431
chadi_riad__mar,Chadi Riad,MAR,DEF,51,4,0.0351,0.0351,0.45,0.078,0.078
chancel_mbemba__cod,Chancel Mbemba,COD,DEF,161,104,0.2907,0.2907,0.45,0.646,0.646
charles_de_ketelaere__bel,Charles De Ketelaere,BEL,FWD,69,13,0.0846,0.0846,0.45,0.188,0.188
charles_pickel__cod,Charles Pickel,COD,MID,45,25,0.2502,0.2502,0.45,0.556,0.556
che_adams__sco,Che Adams,SCO,FWD,61,35,0.2583,0.2583,0.45,0.574,0.574
chemsdine_talbi__mar,Chemsdine Talbi,MAR,FWD,23,1,0.0194,0.0194,0.45,0.0431,0.0431
cho_gue_sung__kor,Gue-sung Cho,KOR,FWD,70,27,0.1737,0.1737,0.45,0.386,0.386
chris_brady__usa,Chris Brady,USA,GK,15,0,0.0,0.0,0.45,0.0,0.0
chris_richards__usa,Chris Richards,USA,DEF,94,31,0.1485,0.1485,0.45,0.33,0.33
chris_wood__nzl,Chris Wood,NZL,FWD,123,68,0.2488,0.2488,0.45,0.5529,0.5529
christ_inao_oulai__civ,Christ Inao Oulaï,CIV,MID,10,5,0.225,0.225,0.45,0.5,0.5
christian_fassnacht__sui,Christian Fassnacht,SUI,FWD,90,3,0.0148,0.0148,0.45,0.0329,0.0329
christian_pulisic__usa,Christian Pulisic,USA,FWD,159,72,0.2038,0.2038,0.45,0.4529,0.4529
christoph_baumgartner__aut,Christoph Baumgartner,AUT,MID,71,50,0.3168,0.3168,0.45,0.704,0.704
christopher_bonsu_baah__gha,Christopher Bonsu Baah,GHA,FWD,14,3,0.0963,0.0963,0.45,0.214,0.214
cj_dos_santos__cpv,CJ Dos Santos,CPV,GK,1,0,0.0,0.0,0.45,0.0,0.0
clement_akpa__civ,Clement Akpa,CIV,DEF,17,3,0.0792,0.0792,0.45,0.176,0.176
cody_gakpo__ned,Cody Gakpo,NED,FWD,63,42,0.3002,0.3002,0.45,0.6671,0.6671
cole_palmer__eng,Cole Palmer,ENG,MID,31,6,0.0873,0.0873,0.45,0.194,0.194
connor_metcalfe__aus,Connor Metcalfe,AUS,MID,59,28,0.2138,0.2138,0.45,0.4751,0.4751
craig_gordon__sco,Craig Gordon,SCO,GK,202,79,0.176,0.176,0.45,0.3911,0.3911
cristian_roldan__usa,Cristian Roldan,USA,MID,136,18,0.0594,0.0594,0.45,0.132,0.132
cristian_romero__arg,Cristian Romero,ARG,DEF,70,48,0.3087,0.3087,0.45,0.686,0.686
